Year	Month	Tmax	Tmin	PAR	Prec	CO2
1500-3000	1	-12.05513	-24.05513	128.2321981	16.91625142	385
1500-3000	2	-7.87094727	-19.87094727	403.5712521	15.43330119	385
1500-3000	3	0.57657776	-11.42342224	864.6355271	24.18507285	385
1500-3000	4	10.3583374	-1.6416626	1284.864289	30.89500159	385
1500-3000	5	22.16079102	10.16079102	1589.630289	47.54593572	385
1500-3000	6	31.53770752	19.53770752	1879.377712	72.30104209	385
1500-3000	7	33.81027832	21.81027832	1662.997529	76.59485273	385
1500-3000	8	28.46248779	16.46248779	1135.630938	53.99815342	385
1500-3000	9	20.98308106	8.983081055	672.0868246	38.57187548	385
1500-3000	10	11.39088135	-0.60911865	400.6905609	41.77830664	385
1500-3000	11	-2.4381897	-14.4381897	188.8901782	23.98155004	385
1500-3000	12	-9.40515747	-21.40515747	76.90303414	23.00190503	385
